,pl_name,pl_orbper,pl_eqt,pl_orbeccen,st_rad,pl_imppar,pl_orbincl,pl_insol,pl_ratdor,pl_trandep
10179,Kepler-1446 b,0.68996783,2304.0,0.0,1.75,0.099,88.81,6665.5,4.405,0.01213
10182,Kepler-1446 b,0.68996787,1539.0,0.0,0.73,0.11900000000000001,88.5,1336.82,4.561,0.01229
10184,Kepler-1446 b,0.68996783,2304.0,0.0,1.75,0.099,88.81,6665.5,4.405,0.01213
10185,Kepler-1447 b,56.674666599999995,522.0,0.0,1.29,0.626,89.44,17.59,64.1,0.08831
10186,Kepler-1447 b,56.6747285,468.0,0.0,0.94,0.1803,89.95,11.32,80.79,0.09162000000000001
10187,Kepler-1447 b,56.6747285,468.0,0.0,0.94,0.1803,89.95,11.32,80.79,0.09162000000000001
10188,Kepler-1447 b,56.6747285,468.0,0.0,0.94,0.1803,89.95,11.32,80.79,0.09162000000000001
10195,Kepler-1448 b,12.27065865,811.0,0.0,0.97,0.1375,89.95,102.25,30.39,0.03165
10196,Kepler-1448 b,12.27057043,811.0,0.0,0.97,0.026000000000000002,89.95,102.25,31.7,0.02955
10199,Kepler-1448 b,12.27065865,811.0,0.0,0.97,0.1375,89.95,102.25,30.39,0.03165
10202,Kepler-1448 b,12.27065865,811.0,0.0,0.97,0.1375,89.95,102.25,30.39,0.03165
10203,Kepler-1449 b,13.227452800000002,867.0,0.0,1.16,0.0517,89.95,133.34,16.77,0.022019999999999998
10206,Kepler-1449 b,13.227452800000002,867.0,0.0,1.16,0.0517,89.95,133.34,16.77,0.022019999999999998
10207,Kepler-1449 b,13.227452800000002,867.0,0.0,1.16,0.0517,89.95,133.34,16.77,0.022019999999999998
10209,Kepler-1449 b,13.2274753,867.0,0.0,1.16,0.8029999999999999,85.35,133.34,9.91,0.02298
10212,Kepler-145 b,22.95068896,886.0,0.0,1.85,0.3244,89.38,145.5,37.82,0.013859999999999999
10215,Kepler-145 b,22.95068896,886.0,0.0,1.85,0.3244,89.38,145.5,37.82,0.013859999999999999
10220,Kepler-145 b,22.95062278,873.0,0.0,1.76,0.748,88.39,137.23,26.6,0.012980000000000002
10222,Kepler-145 b,22.95068896,886.0,0.0,1.85,0.3244,89.38,145.5,37.82,0.013859999999999999
10224,Kepler-145 c,42.88232415,719.0,0.0,1.85,0.7016,88.24,63.25,24.8,0.03775
10226,Kepler-145 c,42.88232415,719.0,0.0,1.85,0.7016,88.24,63.25,24.8,0.03775
10227,Kepler-145 c,42.88247951,709.0,0.0,1.76,0.391,89.29,59.6,31.62,0.040889999999999996
10228,Kepler-145 c,42.88232415,719.0,0.0,1.85,0.7016,88.24,63.25,24.8,0.03775
10239,Kepler-1450 b,54.509416599999994,310.0,0.0,0.61,0.0368,89.95,2.19,100.87,0.06827000000000001
10240,Kepler-1450 b,54.5091549,308.0,0.0,0.6,0.94,88.43,2.13,34.2,0.062220000000000004
10241,Kepler-1450 b,54.509416599999994,310.0,0.0,0.61,0.0368,89.95,2.19,100.87,0.06827000000000001
10242,Kepler-1450 b,54.509416599999994,310.0,0.0,0.61,0.0368,89.95,2.19,100.87,0.06827000000000001
10245,Kepler-1451 b,35.622233,521.0,0.0,0.87,0.9023,88.24,17.42,26.3,0.07787000000000001
10247,Kepler-1451 b,35.622233,521.0,0.0,0.87,0.9023,88.24,17.42,26.3,0.07787000000000001
10250,Kepler-1451 b,35.6225528,523.0,0.0,0.88,0.261,89.73,17.67,55.6,0.06511
10251,Kepler-1451 b,35.622233,521.0,0.0,0.87,0.9023,88.24,17.42,26.3,0.07787000000000001
10255,Kepler-1452 b,42.913751,604.0,0.0,1.22,0.23199999999999998,89.95,31.37,63.1,0.0178
10256,Kepler-1452 b,42.913751,604.0,0.0,1.22,0.23199999999999998,89.95,31.37,63.1,0.0178
10259,Kepler-1452 b,42.9136635,810.0,0.0,2.48,0.40299999999999997,89.6,101.56,58.2,0.016059999999999998
10260,Kepler-1452 b,42.913751,604.0,0.0,1.22,0.23199999999999998,89.95,31.37,63.1,0.0178
10262,Kepler-1453 b,47.1611696,503.0,0.0,0.96,0.0008,89.95,15.07,91.06,0.08161
10263,Kepler-1453 b,47.1611696,503.0,0.0,0.96,0.0008,89.95,15.07,91.06,0.08161
10264,Kepler-1453 b,47.1607932,503.0,0.0,0.96,0.027999999999999997,89.98,15.07,92.167,0.07232000000000001
10265,Kepler-1453 b,47.1611696,503.0,0.0,0.96,0.0008,89.95,15.07,91.06,0.08161
10270,Kepler-1454 b,47.032047799999994,492.0,0.0,1.05,0.161,89.85,13.83,61.25,0.03678
10274,Kepler-1454 b,47.0319479,437.0,0.0,0.76,0.5108,89.38,8.62,53.7,0.04716
10275,Kepler-1454 b,47.0319479,437.0,0.0,0.76,0.5108,89.38,8.62,53.7,0.04716
10276,Kepler-1454 b,47.0319479,437.0,0.0,0.76,0.5108,89.38,8.62,53.7,0.04716
10283,Kepler-1455 b,49.276764,272.0,0.0,0.54,0.1622,89.95,1.3,103.93,0.13735999999999998
10286,Kepler-1455 b,49.276764,272.0,0.0,0.54,0.1622,89.95,1.3,103.93,0.13735999999999998
10287,Kepler-1455 b,49.276764,272.0,0.0,0.54,0.1622,89.95,1.3,103.93,0.13735999999999998
